TNFRSF11A	LTBR
FSTL3	MRC1
CD163	MRC1
SIGLEC6	CSF1R
IDE	CSF1R
FCGR3B	CSF1R
CD163	CSF1R
CHEK1	MST1R
IL18RAP	MST1R
CNTF	MST1R
HS6ST1	MST1R
CCNB1	MST1R
PTPN11	PAFAH1B2
UBE2N	PAFAH1B2
TKT	PAFAH1B2
TPI1	PAFAH1B2
RPS27A	PAFAH1B2
CRK	PAFAH1B2
IGFBP4	CDH3
SERPINF2	CDH3
WISP1	CDH3
SERPINC1	CDH3
CDH6	CDH3
MASP1	CDH3
PRSS27	CDH3
OPCML	CDH3
DKKL1	CDH3
PPP3R1	CDH3
KLK14	CDH3
ETHE1	CDH3
APOD	CDH3
CMPK1	CDH3
AMH	CDH3
JAK2	CDH3
PDE2A	CDH3
STK17B	CDH3
ABL2	CDH3
TNFRSF13C	CDH3
SNRPF	CDH3
LYN-isoB	PRKCA
LYN	PRKCA
FYN	PRKCA
SPHK1	PRKCA
PPIF	PRKCA
PRKCB	PRKCA
MAPT	PRKCZ
PECAM1	PRKCZ
CRLF2	PRKCZ
SOD1	PRKCZ
MMP17	PRKCZ
ESR1	PRKCZ
HIST1H1C	PRKCZ
GAS1	PRKCZ
SERPINE2	PRKCZ
ANGPTL3	PRKCZ
FCGR1A	PRKCZ
ABL1	PRKCZ
BCL2	PRKCZ
EPO	PRKCZ
TGFB3	PRKCZ
CDH12	PRKCZ
MMP10	PRKCZ
CCL13	PRKCZ
H2AFZ	PRKCZ
RBM39	PRKCZ
IL28A	PRKCZ
GREM1	PRKCZ
COL23A1	PRKCZ
IL1A	PRKCZ
CAPN1	GDI2
SOD1	GDI2
RPS27A-UbB	GDI2
EHMT2	GDI2
AREG	GDI2
IFNG	GDI2
JAM3	GDI2
FTH1	GDI2
PTPN11	GDI2
RPS6KA3	GDI2
XPNPEP1	GDI2
CAT	GDI2
MDH1	GDI2
PRDX1	GDI2
PSMA6	GDI2
UBE2L3	GDI2
EEF1B2	GDI2
EIF5A	GDI2
KPNB1	GDI2
PDXP	GDI2
UBE2N	GDI2
AKR1A1	GDI2
NME2	GDI2
PFDN5	GDI2
NAPA	GDI2
TKT	GDI2
TPI1	GDI2
DHH	GDI2
FGF16	GDI2
RPS27A	GDI2
EPB41	GDI2
HBA1	GDI2
CA1	GDI2
CRK	GDI2
ADSL	GDI2
CSNK2A1-2B	GDI2
PPIE	GDI2
STIP1	GDI2
KAT6A	ICAM3
ICOS	ICAM3
MATN3	ICAM3
STAB2	ICAM3
ENTPD3	ICAM3
ADCYAP1-27	ICAM3
HSPD1	PLAUR
KPNA2	PLAUR
IL1B	PLAUR
DLL4	PLAUR
BSG	PLAUR
CLEC7A	PLAUR
PECAM1	MAPT
CRLF2	MAPT
MMP17	MAPT
ESR1	MAPT
PLA2G10	MAPT
GAS1	MAPT
ANGPTL3	MAPT
BCL2	MAPT
EPO	MAPT
TGFB3	MAPT
CDH12	MAPT
IFNGR1	MAPT
MMP10	MAPT
H2AFZ	MAPT
GREM1	MAPT
EDA2R	TNFRSF1A
TNFRSF1B	TNFRSF1A
KLK5	TNFRSF1A
PGLYRP1	TNFRSF1A
OLR1	TNFRSF1A
CD300C	TNFRSF1A
DCN	NTRK3
EGFR	NTRK3
CNTFR	NTRK3
EDA	NTRK3
SPINT1	NTRK3
KLK8	NTRK3
CNTN1	NTRK3
IL19	NTRK3
MRC2	NTRK3
CD109	NTRK3
CNTN4	NTRK3
LRIG3	NTRK3
CADM1	NTRK3
INSR	NTRK3
POSTN	NTRK3
TEK	NTRK3
PLAU	NTRK3
MMP2	NTRK3
IGF1R	NTRK3
NCAM1	NTRK3
SLITRK5	NTRK3
NTRK2	NTRK3
ENG	NTRK3
CDNF	NTRK3
NRCAM	NTRK3
SEMA6A	NTRK3
IgG	TNFRSF17
DSG2	TNFRSF17
RTN4	TNFRSF17
SLAMF7	TNFRSF17
laminin	DCN
KLK8	DCN
MRC2	DCN
BGN	DCN
RPS27A-UbB	CAPN1
RAC1	CAPN1
PTPN11	CAPN1
XPNPEP1	CAPN1
IL17A	CAPN1
CASP3	CAPN1
MDH1	CAPN1
PSMA6	CAPN1
EEF1B2	CAPN1
UBE2N	CAPN1
AKR7A2	CAPN1
NME2	CAPN1
TKT	CAPN1
TPI1	CAPN1
RPS27A	CAPN1
PPIF	CAPN1
MB	CKM
CKB-CKM	CKM
CA3	CKM
FABP3	CKM
MAPK12	CKM
TNFRSF6B	CKM
IMPDH2	CKM
PECAM1	TDGF1
CRLF2	TDGF1
KLK4	TDGF1
ICOS	TDGF1
GAS1	TDGF1
MBD4	TDGF1
XCL1	TDGF1
LTA	TDGF1
DLL1	TDGF1
APOB	EGFR
CDH5	EGFR
MET	EGFR
CNTN1	EGFR
IL19	EGFR
MRC2	EGFR
SERPINE2	EGFR
CNTN4	EGFR
LRIG3	EGFR
MATN2	EGFR
KDR	EGFR
IGF2R	EGFR
A2M	EGFR
PLG	EGFR
Thrombin	EGFR
MMP2	EGFR
IGF1R	EGFR
SPARCL1	EGFR
NCAM1	EGFR
CDON	EGFR
NTRK2	EGFR
SOD2	EGFR
CD55	EGFR
GPNMB	EGFR
NOTCH1	EGFR
ROBO2	EGFR
SEMA6A	EGFR
ALCAM	EGFR
PGLYRP1	HGF
OLR1	HGF
CCL1	HSPD1
HDAC8	HSPD1
KPNA2	HSPD1
CXCL1	HSPD1
JAM2	HSPD1
IL1B	HSPD1
PIK3CG	HSPD1
BSG	HSPD1
CD84	HSPD1
MFRP	HSPD1
RGMA	HSPD1
DAPK2	HSPD1
ADCYAP1-27	HSPD1
HSD17B1	HSPD1
SMPDL3A	HSPD1
SFN	HSPD1
PRLR	HSPD1
PDE3A	HSPD1
MAP3K7	HSPD1
BCAR3	HSPD1
TNFRSF11A	HSPD1
CFH	C3B-inac
C7	IGFBP5
CFD	IGFBP5
IGF1	IGFBP5
CTSD	IGFBP5
C5A	IGFBP6
CFD	IGFBP6
IGFBP4	IGFBP6
SERPINF2	IGFBP6
WISP1	IGFBP6
ADAMTS13	IGFBP6
F7	IGFBP6
C1R	IGFBP6
CFC1	IGFBP6
GFRA1	IGFBP6
SERPINC1	IGFBP6
SERPINA5	IGFBP6
FN1-frag3	IGFBP6
CDC42BPB	IGFBP6
OCIAD1	IGFBP6
RBP4	IGFBP6
PLG	IGFBP6
SPARCL1	IGFBP6
SERPING1	IGFBP6
ITIH4	IGFBP6
SFN	IGFBP6
GOT1	IGFBP6
AMH	IGFBP6
DBNL	IGFBP6
PLA2G7	IGFBP6
LAG3	IGFBP6
PDE11A	IGFBP6
ABL2	IGFBP6
CST6	MIA
SLPI	MIA
SFRP1	PLA2G2A
CCL1	OSM
AIF1	OSM
HDAC8	OSM
DSG1	OSM
JAM2	OSM
ARSB	OSM
CTSD	OSM
ENTPD1	OSM
