ENTPD1	LTBR
KLK12	LTBR
FOLH1	LTBR
FCN2	LTBR
PIK3CG	LTBR
STAB2	LTBR
CAMK1D	LTBR
FLT3	LTBR
KLK6	LTBR
STK16	LTBR
CDH6	LTBR
MASP1	LTBR
EPHB4	LTBR
LGMN	LTBR
PRSS27	LTBR
MMEL1	LTBR
CDC42BPB	LTBR
CADM3	LTBR
OPCML	LTBR
OCIAD1	LTBR
RBP4	LTBR
DKKL1	LTBR
TLR4	LTBR
PPP3R1	LTBR
COLEC12	LTBR
KLK14	LTBR
IL5	LTBR
ETHE1	LTBR
DYRK3	LTBR
TPM2	LTBR
ZAP70	LTBR
ADCYAP1-27	LTBR
HSD17B1	LTBR
APOD	LTBR
PPIB	LTBR
PDIA3	LTBR
CMPK1	LTBR
PDE2A	LTBR
STK17B	LTBR
PDE11A	LTBR
MAP3K7	LTBR
ABL2	LTBR
BCAR3	LTBR
CALR	LTBR
TNFRSF13C	LTBR
CDH15	LTBR
TNFRSF11A	LTBR
FSTL3	MRC1
CD163	MRC1
FCGR3B	CSF1R
CD163	CSF1R
NOV	MST1R
KAT6A	MST1R
CD22	MST1R
LGALS4	MST1R
IL18RAP	MST1R
IL24	MST1R
IL15RA	MST1R
ASGR1	MST1R
CCL24	MST1R
FGF12	MST1R
ENTPD3	MST1R
RASA1	MST1R
HS6ST1	MST1R
RPS27A-UbB	PAFAH1B2
MAP2K1	PAFAH1B2
PTPN11	PAFAH1B2
UBE2N	PAFAH1B2
CCL24	PAFAH1B2
NSFL1C	PAFAH1B2
TKT	PAFAH1B2
TPI1	PAFAH1B2
AMN	PAFAH1B2
RPS27A	PAFAH1B2
CRK	PAFAH1B2
PRDX5	PAFAH1B2
SERPINF2	CDH3
WISP1	CDH3
ARSB	CDH3
CA4	CDH3
CDH6	CDH3
MASP1	CDH3
PRSS27	CDH3
OPCML	CDH3
DKKL1	CDH3
PPP3R1	CDH3
KLK14	CDH3
ETHE1	CDH3
APOD	CDH3
CMPK1	CDH3
AMH	CDH3
JAK2	CDH3
PDE2A	CDH3
STK17B	CDH3
TNFRSF13C	CDH3
SNRPF	CDH3
RAC1	PRKCA
LYN-isoB	PRKCA
BTK	PRKCA
LYN	PRKCA
FYN	PRKCA
14-3-3	PRKCA
AKR7A2	PRKCA
SPHK1	PRKCA
ANXA2	PRKCA
CLIC1	PRKCA
PPIF	PRKCA
PRKCB	PRKCA
MAPT	PRKCZ
PECAM1	PRKCZ
CRLF2	PRKCZ
SOD1	PRKCZ
MMP17	PRKCZ
ESR1	PRKCZ
HIST1H1C	PRKCZ
GAS1	PRKCZ
ANGPTL3	PRKCZ
FCGR1A	PRKCZ
GPC2	PRKCZ
ABL1	PRKCZ
BCL2	PRKCZ
EPO	PRKCZ
TGFB3	PRKCZ
CDH12	PRKCZ
MMP10	PRKCZ
CAMKK1	PRKCZ
CCL13	PRKCZ
H2AFZ	PRKCZ
RBM39	PRKCZ
IL28A	PRKCZ
GREM1	PRKCZ
COL23A1	PRKCZ
CAPN1	GDI2
IL16	GDI2
SOD1	GDI2
RPS27A-UbB	GDI2
MAP2K1	GDI2
RAC1	GDI2
EHMT2	GDI2
AREG	GDI2
IFNG	GDI2
JAM3	GDI2
FTH1	GDI2
PTPN11	GDI2
PRKACA	GDI2
RPS6KA3	GDI2
XPNPEP1	GDI2
CAT	GDI2
CASP3	GDI2
MDH1	GDI2
PRDX1	GDI2
PSMA6	GDI2
RPS6KA5	GDI2
UBE2L3	GDI2
ARID3A	GDI2
EEF1B2	GDI2
EIF5A	GDI2
KPNB1	GDI2
PDXP	GDI2
UBE2N	GDI2
HSPA1A	GDI2
AKR1A1	GDI2
VTA1	GDI2
NME2	GDI2
NSFL1C	GDI2
PFDN5	GDI2
GPI	GDI2
NAPA	GDI2
TKT	GDI2
TPI1	GDI2
DHH	GDI2
FGF16	GDI2
RPS27A	GDI2
EPB41	GDI2
HBA1	GDI2
CA1	GDI2
CRK	GDI2
CSNK2A1-2B	GDI2
PPIE	GDI2
STIP1	GDI2
C7	ICAM3
MATN3	ICAM3
XPNPEP1	ICAM3
CTSE	ICAM3
ESM1	ICAM3
MED1	ICAM3
ENTPD3	ICAM3
ANXA2	ICAM3
CD226	ICAM3
TNFRSF13C	ICAM3
HSPD1	PLAUR
KPNA2	PLAUR
IL1B	PLAUR
DLL4	PLAUR
BSG	PLAUR
PDE5A	PLAUR
TDGF1	MAPT
PECAM1	MAPT
CRLF2	MAPT
MMP17	MAPT
ESR1	MAPT
GAS1	MAPT
ANGPTL3	MAPT
BCL2	MAPT
EPO	MAPT
TGFB3	MAPT
CDH12	MAPT
MMP10	MAPT
H2AFZ	MAPT
IL28A	MAPT
GREM1	MAPT
LCN2	TNFRSF1A
TNFRSF1B	TNFRSF1A
PGLYRP1	TNFRSF1A
OLR1	TNFRSF1A
LYZ	TNFRSF1A
DCN	NTRK3
EGFR	NTRK3
CNTFR	NTRK3
SPINT1	NTRK3
KLK8	NTRK3
WIF1	NTRK3
IL1R1	NTRK3
CD109	NTRK3
LRIG3	NTRK3
CADM1	NTRK3
INSR	NTRK3
POSTN	NTRK3
FCN1	NTRK3
TEC	NTRK3
TEK	NTRK3
PLAU	NTRK3
IGF1R	NTRK3
NCAM1	NTRK3
ENG	NTRK3
CDNF	NTRK3
NRCAM	NTRK3
SEMA6A	NTRK3
MMP7	TNFRSF17
IgG	TNFRSF17
DSG2	TNFRSF17
SLAMF7	TNFRSF17
EDA2R	DCN
BGN	DCN
RPS27A-UbB	CAPN1
RAC1	CAPN1
PTPN11	CAPN1
PRKACA	CAPN1
XPNPEP1	CAPN1
CASP3	CAPN1
PPIA	CAPN1
MDH1	CAPN1
EEF1B2	CAPN1
UBE2N	CAPN1
14-3-3	CAPN1
AKR7A2	CAPN1
AKR1A1	CAPN1
NME2	CAPN1
NSFL1C	CAPN1
TKT	CAPN1
TPI1	CAPN1
RPS27A	CAPN1
CRK	CAPN1
MAPK14	CAPN1
MSN	CAPN1
PPIF	CAPN1
PRKCB	CAPN1
STIP1	CAPN1
MB	CKM
CKB-CKM	CKM
CA3	CKM
FABP3	CKM
IMPDH2	CKM
PECAM1	TDGF1
TNFRSF13B	TDGF1
CRLF2	TDGF1
MMP17	TDGF1
ICOS	TDGF1
GAS1	TDGF1
ANGPTL3	TDGF1
LMNB1	TDGF1
MED1	TDGF1
XCL1	TDGF1
ENTPD3	TDGF1
KIRREL3	TDGF1
PDE7A	TDGF1
APOB	EGFR
MET	EGFR
CNTN1	EGFR
IL19	EGFR
MRC2	EGFR
SERPINE2	EGFR
CNTN4	EGFR
LRIG3	EGFR
MATN2	EGFR
CHL1	EGFR
IGF2R	EGFR
A2M	EGFR
PLG	EGFR
Thrombin	EGFR
MMP2	EGFR
IGF1R	EGFR
C3B	EGFR
NCAM1	EGFR
NTRK2	EGFR
CD55	EGFR
GPNMB	EGFR
NOTCH1	EGFR
ROBO2	EGFR
SEMA6A	EGFR
Prothrombin	EGFR
ALCAM	EGFR
MBL2	HGF
PGLYRP1	HGF
OLR1	HGF
RPS3	HGF
CPNE1	HGF
APOB	HSPD1
HDAC8	HSPD1
DSG1	HSPD1
CXCL1	HSPD1
JAM2	HSPD1
IL1B	HSPD1
SERPINE2	HSPD1
BSG	HSPD1
CDC42BPB	HSPD1
CD84	HSPD1
CFHR5	HSPD1
DAPK2	HSPD1
ADCYAP1-27	HSPD1
HSD17B1	HSPD1
SMPDL3A	HSPD1
SFN	HSPD1
PDE3A	HSPD1
MAP3K7	HSPD1
BCAR3	HSPD1
CFH	C3B-inac
C1Q	IGFBP5
CX3CL1	IGFBP5
HDAC8	IGFBP5
C7	IGFBP5
CFD	IGFBP5
IGF1	IGFBP5
DSG1	IGFBP5
CTSD	IGFBP5
KLK12	IGFBP5
CA10	IGFBP5
PIK3CG	IGFBP5
None	IGFBP5
C5A	IGFBP6
CFD	IGFBP6
IGFBP4	IGFBP6
SERPINF2	IGFBP6
WISP1	IGFBP6
ADAMTS13	IGFBP6
CTSD	IGFBP6
