TSLP	ICAM3
ENTPD1	ICAM3
MATN3	ICAM3
SERPINE2	ICAM3
TPO	ICAM3
ENTPD3	ICAM3
HSPD1	PLAUR
KPNA2	PLAUR
DLL4	PLAUR
BSG	PLAUR
CLEC7A	PLAUR
PECAM1	MAPT
CRLF2	MAPT
MMP17	MAPT
ESR1	MAPT
GAS1	MAPT
KREMEN2	MAPT
ANGPTL3	MAPT
CDK8	MAPT
BCL2	MAPT
EPO	MAPT
TGFB3	MAPT
CDH12	MAPT
IL28A	MAPT
GREM1	MAPT
TNFRSF1B	TNFRSF1A
PGLYRP1	TNFRSF1A
FSTL3	TNFRSF1A
DCN	NTRK3
EGFR	NTRK3
CNTFR	NTRK3
BCAM	NTRK3
EDA	NTRK3
KLK8	NTRK3
BMP7	NTRK3
CNTN1	NTRK3
IL1R1	NTRK3
IL19	NTRK3
CD109	NTRK3
CNTN4	NTRK3
LRIG3	NTRK3
CADM1	NTRK3
CA6	NTRK3
INSR	NTRK3
POSTN	NTRK3
CHL1	NTRK3
MFRP	NTRK3
PLAU	NTRK3
MMP2	NTRK3
IGF1R	NTRK3
NCAM1	NTRK3
SLITRK5	NTRK3
NTRK2	NTRK3
ENG	NTRK3
ITGAV	NTRK3
CDNF	NTRK3
NRCAM	NTRK3
SEMA6A	NTRK3
ANXA6	NTRK3
CD86	NTRK3
TIE1	TNFRSF17
LY9	TNFRSF17
IgG	TNFRSF17
DSG2	TNFRSF17
RTN4	TNFRSF17
SLAMF7	TNFRSF17
laminin	DCN
BGN	DCN
GNS	DCN
SPOCK2	DCN
RPS27A-UbB	CAPN1
RAC1	CAPN1
PTPN11	CAPN1
PRKACA	CAPN1
XPNPEP1	CAPN1
CASP3	CAPN1
PPIA	CAPN1
MDH1	CAPN1
PSMA6	CAPN1
TPT1	CAPN1
UBE2L3	CAPN1
EEF1B2	CAPN1
PDXP	CAPN1
UBE2N	CAPN1
14-3-3	CAPN1
AKR7A2	CAPN1
VTA1	CAPN1
NME2	CAPN1
NAPA	CAPN1
TKT	CAPN1
TPI1	CAPN1
RPS27A	CAPN1
CSNK2A1-2B	CAPN1
PPIF	CAPN1
PRKCB	CAPN1
STIP1	CAPN1
MB	CKM
CKB-CKM	CKM
CA3	CKM
DCTPP1	CKM
IMPDH2	CKM
PECAM1	TDGF1
TNFRSF13B	TDGF1
CRLF2	TDGF1
MMP17	TDGF1
ESR1	TDGF1
PRSS7	TDGF1
GAS1	TDGF1
MBD4	TDGF1
HS6ST1	TDGF1
LTA	TDGF1
APOB	EGFR
CDH5	EGFR
MET	EGFR
GHR	EGFR
CNTN1	EGFR
IL19	EGFR
MRC2	EGFR
IDS	EGFR
CNTN4	EGFR
MATN2	EGFR
BMP1	EGFR
SERPINA4	EGFR
CHL1	EGFR
KDR	EGFR
CFHR5	EGFR
IGF2R	EGFR
A2M	EGFR
PLG	EGFR
KLKB1	EGFR
MMP2	EGFR
IGF1R	EGFR
L1CAM	EGFR
NCAM1	EGFR
CDON	EGFR
NTRK2	EGFR
SOD2	EGFR
CD55	EGFR
NOTCH1	EGFR
ROBO2	EGFR
ANXA6	EGFR
ALCAM	EGFR
