EGFR	IL6ST
CDH5	IL6ST
MET	IL6ST
BMP7	IL6ST
CNTN1	IL6ST
MRC2	IL6ST
CNTN4	IL6ST
MATN2	IL6ST
RGMB	IL6ST
INSR	IL6ST
MMP2	IL6ST
IGF1R	IL6ST
NCAM1	IL6ST
EMR2	IL6ST
NTRK2	IL6ST
ENG	IL6ST
CD55	IL6ST
GPNMB	IL6ST
JAG1	IL6ST
NOTCH1	IL6ST
ROBO2	IL6ST
TNFRSF21	IL6ST
ALCAM	IL6ST
PRKCZ	HMOX2
TOP1	HMOX2
UBE2I	HMOX2
ARID3A	HMOX2
RBM39	HMOX2
HDGFRP2	HMOX2
PLAUR	E7_HPV16
PCNA	E7_HPV16
CD207	E7_HPV16
CNTF	E7_HPV16
IL17B	E7_HPV16
IL20	E7_HPV16
EIF4EBP2	E7_HPV16
HSPA8	E7_HPV16
FGF12	E7_HPV16
PDGFA	E7_HPV16
PSME3	E7_HPV16
LTBR	E7_HPV18
OSM	E7_HPV18
TNFSF18	E7_HPV18
IL1F7	E7_HPV18
CD97	E7_HPV18
ARG1	E7_HPV18
HDAC8	E7_HPV18
CD22	E7_HPV18
FCN2	E7_HPV18
AURKB	E7_HPV18
PIK3CG	E7_HPV18
STAB2	E7_HPV18
FLT3	E7_HPV18
BIRC5	E7_HPV18
NTRK1	E7_HPV18
CDH6	E7_HPV18
MASP1	E7_HPV18
EPHB4	E7_HPV18
LGMN	E7_HPV18
PRSS27	E7_HPV18
CDC42BPB	E7_HPV18
CADM3	E7_HPV18
OPCML	E7_HPV18
DKKL1	E7_HPV18
PPP3R1	E7_HPV18
COLEC12	E7_HPV18
KLK14	E7_HPV18
IL5	E7_HPV18
TPO	E7_HPV18
DYRK3	E7_HPV18
SPHK2	E7_HPV18
TPM2	E7_HPV18
ADCYAP1-38	E7_HPV18
CMPK1	E7_HPV18
AGR2	E7_HPV18
RB1	E7_HPV18
STK17B	E7_HPV18
ABL2	E7_HPV18
BCAR3	E7_HPV18
CDH15	E7_HPV18
GDI2	HSP90AA1
CAPN1	HSP90AA1
POR	HSP90AA1
IL16	HSP90AA1
RPS27A-UbB	HSP90AA1
MAPK3	HSP90AA1
RAC1	HSP90AA1
UBE2I	HSP90AA1
ADRBK1	HSP90AA1
PTPN11	HSP90AA1
PRKACA	HSP90AA1
RPS6KA3	HSP90AA1
XPNPEP1	HSP90AA1
ITGA1	HSP90AA1
CASP3	HSP90AA1
MDH1	HSP90AA1
RPS7	HSP90AA1
ARID3A	HSP90AA1
NAGK	HSP90AA1
14-3-3	HSP90AA1
AKR1A1	HSP90AA1
NME2	HSP90AA1
GPI	HSP90AA1
RBM39	HSP90AA1
TKT	HSP90AA1
TPI1	HSP90AA1
PTPN6	HSP90AA1
SFTPD	HSP90AA1
RPS27A	HSP90AA1
HDGFRP2	HSP90AA1
CAPG	HSP90AA1
MAPK14	HSP90AA1
MSN	HSP90AA1
CLIC1	HSP90AA1
SSRP1	HSP90AA1
CSNK2A1-2B	HSP90AA1
HNRNPA2B1	HSP90AA1
STIP1	HSP90AA1
IL12RB1	IL10RB
PRKCA	IL10RB
CSF3R	IL10RB
SPINT1	IL10RB
ARG1	IL10RB
AURKB	IL10RB
IL17RD	IL10RB
UFC1	IL10RB
IL15RA	IL10RB
NTRK1	IL10RB
TG	IL10RB
TK1	IL10RB
IL34	IL10RB
SSRP1	IL10RB
GZMH	IL12RB1
IL17D	IL12RB1
GDI2	IL2RG
ULBP3	IL2RG
SOD1	IL2RG
RPS27A-UbB	IL2RG
EHMT2	IL2RG
AREG	IL2RG
IFNG	IL2RG
JAM3	IL2RG
FTH1	IL2RG
KREMEN2	IL2RG
XPNPEP1	IL2RG
CAT	IL2RG
VIP	IL2RG
MDH1	IL2RG
PRDX1	IL2RG
PSMA6	IL2RG
RPS6KA5	IL2RG
SBDS	IL2RG
UBE2L3	IL2RG
EEF1B2	IL2RG
EIF5A	IL2RG
KPNB1	IL2RG
PDXP	IL2RG
UBE2N	IL2RG
FGF6	IL2RG
NME2	IL2RG
NAPA	IL2RG
INHBB	IL2RG
DHH	IL2RG
FGF16	IL2RG
FGF8-isoA	IL2RG
IL29	IL2RG
FGF7	IL2RG
FLRT1	IL2RG
EPB41	IL2RG
CA1	IL2RG
ADSL	IL2RG
CSNK2A1-2B	IL2RG
PPIE	IL2RG
MAPT	LAYN
PECAM1	LAYN
MMP17	LAYN
GAS1	LAYN
LRP8	LAYN
CSF1	LAYN
OSM	LTBR
IL1F7	LTBR
CCL1	LTBR
DSG1	LTBR
ARSB	LTBR
CTSD	LTBR
ENTPD1	LTBR
KLK12	LTBR
FOLH1	LTBR
FCN2	LTBR
PIK3CG	LTBR
STAB2	LTBR
CAMK1D	LTBR
FLT3	LTBR
KLK6	LTBR
STK16	LTBR
CDH6	LTBR
MASP1	LTBR
EPHB4	LTBR
LGMN	LTBR
PRSS27	LTBR
CDC42BPB	LTBR
CADM3	LTBR
OPCML	LTBR
DKKL1	LTBR
PPP3R1	LTBR
COLEC12	LTBR
KLK14	LTBR
IL5	LTBR
DYRK3	LTBR
TPM2	LTBR
ZAP70	LTBR
HSD17B1	LTBR
APOD	LTBR
CMPK1	LTBR
PDE2A	LTBR
STK17B	LTBR
MAP3K7	LTBR
ABL2	LTBR
BCAR3	LTBR
CALR	LTBR
CDH15	LTBR
TNFRSF11A	LTBR
CD163	MRC1
SIGLEC6	CSF1R
PLA2G10	CSF1R
CD163	CSF1R
KAT6A	MST1R
IL15RA	MST1R
FGF12	MST1R
RASA1	MST1R
HS6ST1	MST1R
CAPN1	PAFAH1B2
RPS27A-UbB	PAFAH1B2
PTPN11	PAFAH1B2
UBE2N	PAFAH1B2
CCL24	PAFAH1B2
TKT	PAFAH1B2
TPI1	PAFAH1B2
RPS27A	PAFAH1B2
SERPINF2	CDH3
PRSS27	CDH3
APOD	CDH3
AMH	CDH3
JAK2	CDH3
TNFRSF13C	CDH3
SNRPF	CDH3
RAC1	PRKCA
LYN-isoB	PRKCA
FYN	PRKCA
14-3-3	PRKCA
SPHK1	PRKCA
CLIC1	PRKCA
PPIF	PRKCA
PRKCB	PRKCA
MAPT	PRKCZ
PECAM1	PRKCZ
CRLF2	PRKCZ
SOD1	PRKCZ
MMP17	PRKCZ
ESR1	PRKCZ
