CCL13	PRKCZ
H2AFZ	PRKCZ
MDM2	PRKCZ
IL28A	PRKCZ
CHST2	PRKCZ
CHST6	PRKCZ
GREM1	PRKCZ
COL23A1	PRKCZ
CAPN1	GDI2
RPS27A-UbB	GDI2
AREG	GDI2
IFNG	GDI2
JAM3	GDI2
FTH1	GDI2
KREMEN2	GDI2
PRKCI	GDI2
BCL2	GDI2
PRKACA	GDI2
XPNPEP1	GDI2
CAT	GDI2
VIP	GDI2
CA3	GDI2
MDH1	GDI2
PRDX1	GDI2
ACP1	GDI2
PSMA6	GDI2
RPS6KA5	GDI2
SBDS	GDI2
UBE2L3	GDI2
ARID3A	GDI2
EEF1B2	GDI2
EIF5A	GDI2
KPNB1	GDI2
PDXP	GDI2
PSMD7	GDI2
UBE2N	GDI2
AKR1A1	GDI2
NME2	GDI2
PA2G4	GDI2
PFDN5	GDI2
NAPA	GDI2
TKT	GDI2
TPI1	GDI2
INHBB	GDI2
DHH	GDI2
FGF16	GDI2
FGF8-isoA	GDI2
RPS27A	GDI2
FGF7	GDI2
EPB41	GDI2
HBA1	GDI2
CA1	GDI2
CRK	GDI2
ADSL	GDI2
CSNK2A1-2B	GDI2
PPIE	GDI2
STIP1	GDI2
CHEK1	ICAM3
KAT6A	ICAM3
ICOS	ICAM3
MATN3	ICAM3
CST7	ICAM3
STAB2	ICAM3
BSG	ICAM3
ENTPD3	ICAM3
RASA1	ICAM3
ZAP70	ICAM3
CLU	ICAM3
DLL4	PLAUR
PDE5A	PLAUR
TDGF1	MAPT
PECAM1	MAPT
CRLF2	MAPT
MMP17	MAPT
ESR1	MAPT
GAS1	MAPT
ANGPTL3	MAPT
FCGR1A	MAPT
ABL1	MAPT
EPO	MAPT
TGFB3	MAPT
CDH12	MAPT
MMP10	MAPT
H2AFZ	MAPT
MDM2	MAPT
IL28A	MAPT
GREM1	MAPT
LRRTM1	MAPT
TNFRSF1B	TNFRSF1A
PGLYRP1	TNFRSF1A
OLR1	TNFRSF1A
DCN	NTRK3
EGFR	NTRK3
CNTFR	NTRK3
EDA	NTRK3
